Date,Close,Volume,Open,High,Low
11/24/23,$591.36 ,645766,$591.02 ,$594.20 ,$590.41 
11/22/23,$589.08 ,1068932,$586.85 ,$591.14 ,$586.35 
11/21/23,$584.30 ,1173710,$582.00 ,$584.95 ,$577.71 
11/20/23,$580.80 ,1624460,$577.34 ,$582.32 ,$577.34 
11/17/23,$577.15 ,1774272,$578.90 ,$579.92 ,$574.06 
11/16/23,$578.58 ,2954653,$586.38 ,$586.59 ,$572.24 
11/15/23,$596.78 ,2165104,$593.99 ,$599.89 ,$593.39 
11/14/23,$590.80 ,2037639,$581.74 ,$591.55 ,$581.21 
11/13/23,$578.23 ,1650942,$575.00 ,$579.95 ,$573.49 
11/10/23,$577.12 ,1909263,$567.90 ,$577.89 ,$564.94 
11/9/23,$563.27 ,1288443,$569.00 ,$569.00 ,$562.01 
11/8/23,$567.38 ,1343554,$572.12 ,$572.99 ,$564.30 
11/7/23,$571.27 ,1373229,$572.50 ,$573.89 ,$569.56 
11/6/23,$569.82 ,2056898,$560.49 ,$572.65 ,$560.13 
11/3/23,$560.90 ,1826753,$557.33 ,$562.99 ,$555.23 
11/2/23,$555.97 ,2100573,$556.50 ,$559.51 ,$552.01 
11/1/23,$556.80 ,1735315,$555.00 ,$558.44 ,$549.65 
10/31/23,$552.44 ,1394661,$552.16 ,$554.03 ,$549.06 
10/30/23,$554.88 ,1696182,$545.74 ,$556.36 ,$543.64 
10/27/23,$543.03 ,1503322,$547.60 ,$548.03 ,$540.23 
10/26/23,$547.60 ,1925263,$549.65 ,$554.66 ,$545.53 
10/25/23,$549.99 ,1757470,$548.55 ,$553.83 ,$545.61 
10/24/23,$551.84 ,1678622,$552.10 ,$555.99 ,$549.33 
10/23/23,$552.29 ,1776509,$554.14 ,$556.93 ,$546.63 
10/20/23,$552.93 ,2295445,$566.54 ,$566.67 ,$552.01 
10/19/23,$565.63 ,2019564,$573.70 ,$575.85 ,$564.11 
10/18/23,$574.64 ,1311893,$573.92 ,$577.30 ,$572.00 
10/17/23,$574.34 ,1404801,$571.94 ,$576.06 ,$570.71 
10/16/23,$572.24 ,1428517,$569.69 ,$574.10 ,$568.52 
10/13/23,$566.84 ,1244163,$563.85 ,$567.44 ,$561.98 
10/12/23,$563.78 ,1457979,$568.05 ,$569.14 ,$562.38 
10/11/23,$565.52 ,1449996,$564.85 ,$566.50 ,$560.20 
10/10/23,$562.09 ,2176975,$559.92 ,$566.95 ,$557.24 
10/9/23,$558.97 ,1781511,$555.00 ,$559.75 ,$549.78 
10/6/23,$557.53 ,4246692,$566.09 ,$566.95 ,$542.63 
10/5/23,$569.52 ,1579732,$572.17 ,$574.75 ,$564.36 
10/4/23,$571.80 ,1798756,$569.49 ,$572.61 ,$563.76 
10/3/23,$565.04 ,2007373,$571.10 ,$576.19 ,$563.01 
10/2/23,$571.31 ,1831713,$567.91 ,$571.74 ,$564.00 
9/29/23,$564.96 ,1887507,$570.00 ,$570.99 ,$560.70 
9/28/23,$568.63 ,2192427,$564.07 ,$572.18 ,$564.07 
9/27/23,$563.53 ,4591429,$547.38 ,$566.50 ,$544.73 
